t_s,vdc_v,idc_a,i_gen_a,i_load_a,i_fault_a,v_pos_gnd_v,v_neg_gnd_v
0.42355,1506.23100586906,2179.99848956851,2419.61596883381,2179.99848956851,0,753.115502934532,-753.115502934532
0.4236,1506.23084647229,2179.99849225033,2419.61041948029,2179.99849225033,0,753.115423236146,-753.115423236146
0.42365,1506.23068707992,2179.99849492768,2419.60487027415,2179.99849492768,0,753.115343539962,-753.115343539962
0.4237,1506.23052769196,2179.99849760057,2419.59932121539,2179.99849760057,0,753.11526384598,-753.11526384598
0.42375,1506.2303683084,2179.99850026902,2419.593772304,2179.99850026902,0,753.115184154201,-753.115184154201
0.4238,1506.23020892925,2179.99850293301,2419.58822353998,2179.99850293301,0,753.115104464624,-753.115104464624
0.42385,1506.2300495545,2179.99850559258,2419.58267492334,2179.99850559258,0,753.115024777249,-753.115024777249
0.4239,1506.22989018415,2179.99850824771,2419.57712645406,2179.99850824771,0,753.114945092076,-753.114945092076
0.42395,1506.22973081821,2179.99851089842,2419.57157813214,2179.99851089842,0,753.114865409104,-753.114865409104
0.424,1506.22957145667,2179.99851354472,2419.56602995758,2179.99851354472,0,753.114785728334,-753.114785728334
0.42405,1506.22941209953,2179.99851618661,2419.56048193038,2179.99851618661,0,753.114706049764,-753.114706049764
0.4241,1506.22925274679,2179.9985188241,2419.55493405053,2179.9985188241,0,753.114626373396,-753.114626373396
0.42415,1506.22909339846,2179.99852145719,2419.54938631803,2179.99852145719,0,753.114546699229,-753.114546699229
0.4242,1506.22893405452,2179.99852408591,2419.54383873287,2179.99852408591,0,753.114467027262,-753.114467027262
0.42425,1506.22877471499,2179.99852671024,2419.53829129506,2179.99852671024,0,753.114387357496,-753.114387357496
0.4243,1506.22861537986,2179.99852933021,2419.53274400459,2179.99852933021,0,753.11430768993,-753.11430768993
0.42435,1506.22845604913,2179.99853194581,2419.52719686145,2179.99853194581,0,753.114228024564,-753.114228024564
0.4244,1506.22829672279,2179.99853455706,2419.52164986565,2179.99853455706,0,753.114148361397,-753.114148361397
