t_s,vdc_v,idc_a,i_gen_a,i_load_a,i_fault_a,v_pos_gnd_v,v_neg_gnd_v
0.83035,1497.49535216526,2413.32944920812,2348.61628070987,2413.32944920812,0,748.747676082631,-748.747676082631
0.8304,1497.49542530404,2413.32945562076,2348.61883744344,2413.32945562076,0,748.747712652019,-748.747712652019
0.83045,1497.49549844125,2413.32946202272,2348.6213941079,2413.32946202272,0,748.747749220625,-748.747749220625
0.8305,1497.49557157689,2413.32946841402,2348.62395070326,2413.32946841402,0,748.747785788447,-748.747785788447
0.83055,1497.49564471097,2413.32947479468,2348.62650722952,2413.32947479468,0,748.747822355487,-748.747822355487
0.8306,1497.49571784348,2413.32948116471,2348.62906368668,2413.32948116471,0,748.747858921742,-748.747858921742
0.83065,1497.49579097443,2413.32948752414,2348.63162007475,2413.32948752414,0,748.747895487214,-748.747895487214
0.8307,1497.4958641038,2413.32949387297,2348.63417639373,2413.32949387297,0,748.747932051902,-748.747932051902
0.83075,1497.49593723161,2413.32950021123,2348.63673264362,2413.32950021123,0,748.747968615805,-748.747968615805
0.8308,1497.49601035785,2413.32950653894,2348.63928882443,2413.32950653894,0,748.748005178923,-748.748005178923
0.83085,1497.49608348251,2413.32951285611,2348.64184493617,2413.32951285611,0,748.748041741256,-748.748041741256
0.8309,1497.49615660561,2413.32951916276,2348.64440097882,2413.32951916276,0,748.748078302804,-748.748078302804
0.83095,1497.49622972713,2413.32952545891,2348.64695695241,2413.32952545891,0,748.748114863566,-748.748114863566
0.831,1497.49630284708,2413.32953174457,2348.64951285693,2413.32953174457,0,748.748151423542,-748.748151423542
0.83105,1497.49637596546,2413.32953801976,2348.65206869238,2413.32953801976,0,748.748187982732,-748.748187982732
0.8311,1497.49644908227,2413.32954428451,2348.65462445877,2413.32954428451,0,748.748224541135,-748.748224541135
0.83115,1497.4965221975,2413.32955053882,2348.6571801561,2413.32955053882,0,748.748261098751,-748.748261098751
0.8312,1497.49659531116,2413.32955678272,2348.65973578438,2413.32955678272,0,748.74829765558,-748.74829765558
0.83125,1497.49666842324,2413.32956301622,2348.66229134361,2413.32956301622,0,748.748334211622,-748.748334211622
0.8313,1497.49674153375,2413.32956923934,2348.66484683378,2413.32956923934,0,748.748370766876,-748.748370766876
0.83135,1497.49681464268,2413.32957545209,2348.66740225492,2413.32957545209,0,748.748407321342,-748.748407321342
0.8314,1497.49688775004,2413.3295816545,2348.66995760702,2413.3295816545,0,748.74844387502,-748.74844387502
0.83145,1497.49696085582,2413.32958784658,2348.67251289007,2413.32958784658,0,748.748480427909,-748.748480427909
