t_s,vdc_v,idc_a,v_pos_gnd_v,v_neg_gnd_v
0.00755,1496.72201336692,485.041601272853,748.361006683461,-748.361006683461
0.0076,1496.68756085199,487.864179302332,748.343780425993,-748.343780425993
0.00765,1496.65304397723,490.682056953166,748.326521988615,-748.326521988615
0.0077,1496.61846443486,493.495242052794,748.309232217428,-748.309232217428
0.00775,1496.5838239087,496.303742415621,748.291911954349,-748.291911954349
0.0078,1496.54912407423,499.107565843039,748.274562037117,-748.274562037117
0.00785,1496.51436659859,501.906720123448,748.257183299297,-748.257183299297
0.0079,1496.47955314057,504.701213032278,748.239776570286,-748.239776570286
0.00795,1496.44468535065,507.491052332011,748.222342675324,-748.222342675324
0.008,1496.40976487099,510.276245772203,748.204882435494,-748.204882435494
0.00805,1496.37479333547,513.056801089505,748.187396667734,-748.187396667734
0.0081,1496.33977236968,515.832726007682,748.169886184838,-748.169886184838
0.00815,1496.30470359094,518.604028237639,748.152351795468,-748.152351795468
0.0082,1496.26958860831,521.370715477439,748.134794304156,-748.134794304156
0.00825,1496.23442902262,524.132795412327,748.117214511311,-748.117214511311
0.0083,1496.19922642646,526.890275714749,748.099613213231,-748.099613213231
0.00835,1496.1639824042,529.643164044374,748.081991202101,-748.081991202101
0.0084,1496.12869853201,532.391468048115,748.064349266005,-748.064349266005
0.00845,1496.09337637787,535.135195360152,748.046688188935,-748.046688188935
0.0085,1496.05801750158,537.874353601953,748.029008750789,-748.029008750789
0.00855,1496.02262345478,540.60895038229,748.011311727388,-748.011311727388
0.0086,1495.98719578095,543.33899329727,747.993597890475,-747.993597890475
0.00865,1495.95173601545,546.064489930345,747.975868007725,-747.975868007725
0.0087,1495.91624568551,548.785447852341,747.958122842754,-747.958122842754
0.00875,1495.88072631024,551.501874621477,747.940363155121,-747.940363155121
0.0088,1495.84517940068,554.213777783384,747.922589700338,-747.922589700338
0.00885,1495.80960645976,556.921164871128,747.904803229879,-747.904803229879
0.0089,1495.77400898236,559.624043405231,747.88700449118,-747.88700449118
0.00895,1495.73838845531,562.322420893691,747.869194227655,-747.869194227655
0.009,1495.70274635739,565.016304832002,747.851373178696,-747.851373178696
0.00905,1495.66708415937,567.705702703177,747.833542079684,-747.833542079684
0.0091,1495.63140332399,570.390621977767,747.815701661995,-747.815701661995
0.00915,1495.59570530601,573.071070113883,747.797852653005,-747.797852653005
0.0092,1495.55999155221,575.747054557216,747.779995776104,-747.779995776104
0.00925,1495.52426350139,578.418582741058,747.762131750694,-747.762131750694
